0.0053;0.0180;-0.9959;1094.9781
0.0199;-0.0012;-1.0030;1094.9781
-0.0056;0.0331;-0.9959;1094.9778
-0.0054;0.0177;-0.9188;1094.9562
-0.0242;0.0065;-0.9644;1094.9635
-0.0086;-0.0203;-1.0003;1094.9635
0.0099;0.0228;-0.9830;1094.9780
0.0082;-0.0166;-0.8897;1094.9632
0.0116;0.0209;-1.0482;1094.9708
-0.0134;0.0160;-0.9000;1095.0001
0.0026;-0.0254;-0.9798;1095.0001
0.0219;0.0263;-0.9493;1094.9853
-0.0244;0.0079;-0.8665;1094.9780
-0.0420;0.0343;-0.8682;1094.9562
0.0182;0.0309;-0.8878;1094.9853
-0.0213;-0.0144;-0.8983;1094.9853
0.0087;0.0570;-0.9337;1095.0071
0.0011;0.0170;-0.9239;1094.9485
0.0111;0.0360;-0.9061;1095.0067
0.0223;0.0104;-0.9554;1094.9706
0.0187;0.0258;-0.9644;1094.9706
0.0131;0.0431;-1.0152;1095.0365
0.0121;0.0397;-1.0101;1095.0000
0.0172;0.0184;-1.0216;1095.0214
-0.0042;0.0084;-0.9642;1095.0435
-0.0220;0.0328;-1.0218;1095.0435
0.0204;0.0075;-0.9637;1095.0217
-0.0027;0.0145;-0.9842;1095.0657
0.0116;-0.0103;-0.9547;1095.0876
0.0079;0.0316;-1.0255;1095.0731
0.0238;-0.0330;-0.9810;1095.0731
0.0245;0.0180;-0.9815;1095.1458
0.0368;0.0028;-0.9527;1095.1095
-0.0056;0.0436;-0.9759;1095.1608
0.0109;-0.0037;-1.0030;1095.2044
0.0355;-0.0042;-0.9859;1095.2120
0.0223;0.0001;-1.0250;1095.2120
0.0079;0.0131;-0.9588;1095.2118
0.0214;0.0197;-0.9849;1095.1901
-0.0083;0.0275;-0.9886;1095.1972
0.0414;0.0421;-0.9820;1095.2413
-0.0056;0.0302;-0.9825;1095.2413
0.0297;0.0043;-0.9949;1095.2629
-0.0020;0.0602;-0.9842;1095.2995
0.0131;0.0285;-1.0382;1095.2995
0.0050;0.0136;-0.9796;1095.2925
0.0053;-0.0217;-0.9725;1095.2925
0.0272;0.0075;-0.9796;1095.3435
-0.0076;0.0531;-0.9810;1095.3291
0.0040;0.0014;-0.9591;1095.3947
0.0150;-0.0369;-0.9876;1095.9648
0.0055;0.0285;-0.9605;1096.0010
-0.0108;0.0004;-0.9766;1096.0306
0.0355;-0.0139;-0.9969;1096.0306
0.0187;-0.0274;-0.9552;1096.0669
0.0070;0.0343;-0.9632;1096.0306
0.0275;0.0407;-0.9822;1096.0379
0.0072;0.0140;-0.9647;1096.0818
0.0062;0.0162;-0.9622;1096.0818
-0.0044;0.0272;-0.9056;1096.0957
0.0075;0.0182;-1.0164;1096.1038
0.0150;-0.0166;-0.9808;1096.1688
-0.0015;-0.0005;-0.9984;1096.1542
0.0346;0.0053;-0.9578;1096.1543
0.0311;0.0143;-1.0509;1096.1543
0.0099;0.0126;-1.0155;1096.1474
0.0043;0.0109;-1.0010;1096.1616
0.0206;-0.0156;-1.0186;1096.1834
0.0458;-0.0234;-1.0289;1096.1840
0.0477;0.0009;-1.0030;1096.1840
0.0016;-0.0110;-0.9744;1096.2280
0.0158;0.0150;-1.0072;1096.1909
0.0236;0.0128;-1.0118;1096.2421
0.0570;-0.0068;-0.9752;1096.2646
-0.0010;0.0358;-0.9881;1096.2646
0.0187;-0.0320;-0.9915;1096.3378
0.0126;-0.0010;-1.0032;1096.3300
0.0245;-0.0003;-1.0233;1096.3591
0.0053;0.0119;-1.0299;1096.3370
-0.0125;-0.0242;-1.0164;1096.3370
0.0133;-0.0183;-1.0665;1096.3597
0.0468;-0.0234;-1.0167;1096.3445
0.0299;0.0079;-1.0709;1096.3737
0.0233;0.0150;-1.0760;1096.3516
0.0260;0.0126;-1.1619;1096.3516
0.0458;-0.0452;-1.1566;1096.3811
-0.0076;0.0075;-1.0670;1096.3518
0.0214;0.0211;-1.0889;1096.3957
0.0180;0.0009;-1.0572;1096.3811
0.0001;0.0123;-1.0260;1096.3811
0.0143;0.0116;-1.0716;1096.4247
0.0497;-0.0286;-1.0228;1096.4469
0.0050;-0.0025;-1.0277;1096.3591
0.0175;-0.0127;-0.9254;1096.4247
0.0167;0.0111;-0.9156;1096.4247
0.0082;-0.0022;-0.9024;1096.4247
0.0238;0.0331;-0.9959;1096.4538
0.0380;0.0077;-0.9976;1096.4248
0.0004;0.0214;-0.9361;1096.4247
0.0424;0.0094;-1.0338;1096.4247
